,temp,velo
0,18905.8024999,7100.0
1,17389.3882175,7419.94
2,14883.9331407,7953.16
3,12998.5220883,8532.6
4,11887.5950654,9161.01
5,11349.2635432,9300.78
6,11140.2504681,9442.76
7,10983.2586881,9587.48
8,10813.7326753,9734.4
9,10669.7269308,9890.13
10,10549.9387603,10073.4
11,10432.0438903,10266.5
12,10369.7698353,10469.0
13,10263.5603302,10683.6
14,10110.9129893,10912.0
15,10014.6108408,11159.1
16,9907.05227717,11423.8
17,9824.12402616,11714.9
18,9767.26611073,12035.1
19,9672.04420602,12388.4
20,9556.86971207,12785.7
21,9411.35028201,13239.1
22,9244.22893203,13775.1
23,9107.7920721,14407.9
24,8958.26431368,15181.0
25,8760.46604035,15433.6
26,8716.57493025,15703.8
27,8605.53123889,15977.8
28,8528.68368184,16254.1
29,8459.31925754,16517.1
30,8410.67580049,16778.5
31,8340.02875301,17047.0
32,8289.17110379,17325.5
33,8251.53249438,17611.1
34,8171.81013732,17917.6
35,8127.30991764,18263.7
36,8065.63922138,18647.2
37,7964.28562875,19101.8
38,7858.35649575,19632.2
39,7781.44460407,19932.7
40,7705.06466702,20290.4
41,7644.06579055,20687.1
42,7559.25586668,21576.7
43,7444.71823068,22504.5
44,7299.33032503,23472.2
45,7155.59641575,24627.9
